Phrase	IPA	SoundsLike	DisplayAs
njimangalu			njimangalu
njinbowani			njinbowani
ango			ango
irarandi			irarandi
dumbudnari			dumbudnari
yaeked			yaeked
mudmanandu			mudmanandu
gajarimade			gajarimade
vnvost			vnvost
organising			organising
bendind			bendind
ynes			ynes
mbaral			mbaral
merenga			merenga
wurumindanilu			wurumindanilu
bunamu			bunamu
kaur			kaur
catiedmit			catiedmit
honepm			honepm
scoopig			scoopig
bigirt			bigirt
asiles			asiles
meden			meden
wodlaptnen			wodlaptnen
arter			arter
olsecu			olsecu
admitted			admitted
nunagudiwad			nunagudiwad
alne			alne
anumanjiri			anumanjiri
sepeste			sepeste
tricky			tricky
juet			juet
squirrel			squirrel
srere			srere
punted			punted
jieu			jieu
finishee			finishee
njarodere			njarodere
wail			wail
modesty			modesty
onto			onto
cvayh			cvayh
htha			htha
cent			cent
routho			routho
frefr			frefr
efet			efet
madameraset			madameraset
anzia			anzia
yarinjin			yarinjin
narguwa			narguwa
ininaranari			ininaranari
mma			mma
namaiali			namaiali
thspee			thspee
menmd			menmd
aaveed			aaveed
frbtruef			frbtruef
iso			iso
wifewmine			wifewmine
weni			weni
brtig			brtig
iorgpy			iorgpy
kinsman			kinsman
usen			usen
skinny			skinny
bnnamar			bnnamar
enter			enter
teps			teps
bubbles			bubbles
aranaju			aranaju
fraised			fraised
slen			slen
barf			barf
mamirsima			mamirsima
mroegh			mroegh
whic			whic
namija			namija
es			es
ungaran			ungaran
garijal			garijal
aln			aln
lma			lma
theplece			theplece
gadarond			gadarond
closely			closely
rthu			rthu
unworthy			unworthy
eendeg			eendeg
majagari			majagari
gadjir			gadjir
gogudjad			gogudjad
thiefewtow			thiefewtow
nija			nija
amandu			amandu
subj			subj
lewara			lewara
stmmggled			stmmggled
hihl			hihl
seain			seain
ilanadjba			ilanadjba
wami			wami
andunalunaragari			andunalunaragari
cbret			cbret
loceaect			loceaect
squelch			squelch
maranga			maranga
odert			odert
duty			duty
remsro			remsro
wordwhen			wordwhen
mlumes			mlumes
wololu			wololu
realise			realise
handed			handed
anguruwi			anguruwi
hjodanda			hjodanda
thenspeared			thenspeared
eereoue			eereoue
aara			aara
mhat			mhat
emenge			emenge
tramped			tramped
unambal			unambal
thereremainedhe			thereremainedhe
pictured			pictured
xao			xao
mininenrari			mininenrari
barks			barks
thse			thse
coretin			coretin
atyurmbmmo			atyurmbmmo
clea			clea
mono			mono
skewer			skewer
lread			lread
yonn			yonn
birwa			birwa
taecumulas			taecumulas
heair			heair
bhaa			bhaa
mumnaly			mumnaly
evidently			evidently
listeni			listeni
journed			journed
wereechase			wereechase
differemeere			differemeere
extinguish			extinguish
oactrce			oactrce
behaviour			behaviour
sons			sons
galtau			galtau
eagkre			eagkre
suit			suit
njimarerinia			njimarerinia
arawari			arawari
gedjug			gedjug
fwkich			fwkich
translating			translating
flaker			flaker
skimode			skimode
behalfof			behalfof
wale			wale
ridj			ridj
njininenanga			njininenanga
manivwisla			manivwisla
ieplepprhee			ieplepprhee
wunganarugu			wunganarugu
covers			covers
adulterous			adulterous
baja			baja
rririirge			rririirge
syenr			syenr
pemain			pemain
crret			crret
current			current
humming			humming
sinig			sinig
hidden			hidden
awandenda			awandenda
ngalo			ngalo
rhrase			rhrase
translate			translate
fadja			fadja
asaeaic			asaeaic
angeri			angeri
sepmideg			sepmideg
recovded			recovded
coal			coal
gunjinangova			gunjinangova
stevens			stevens
weeing			weeing
bogging			bogging
watermarked			watermarked
ioji			ioji
irumarerinja			irumarerinja
uninitiated			uninitiated
shifting			shifting
uumu			uumu
wudjilani			wudjilani
banjaralu			banjaralu
grabbed			grabbed
dullba			dullba
albudmaro			albudmaro
wadmuna			wadmuna
zip			zip
wloneoaus			wloneoaus
obviously			obviously
freelin			freelin
heolan			heolan
mindial			mindial
described			described
growing			growing
gutfunq			gutfunq
burerananinari			burerananinari
chatters			chatters
thereand			thereand
hare			hare
gowe			gowe
attaklemnt			attaklemnt
